Transaction Date,Transaction Details,TXN Currency,Amt in TXN Currency,Amount in INR
14 Sep '22,TIFFIN EXPRESS BANGALORE IN #3242478131,INR,419.00,419.00
13 Sep '22,Swiggy Bengaluru IN #3240761695,INR,180.00,180.00
09 Sep '22,SWIGGY Bengaluru IN #3233652200,INR,485.00,485.00
05 Sep '22,MB PAYMENT #JCGLY065183IFH #3216117522,INR,00000.00,00000.00
04 Sep '22,DECATHLON SPORTS INDIA BANGALORE IN #3221426827,INR,399.00,399.00
03 Sep '22,NAMDHARI AGRO FRESH BANGALORE 356 #3219076423,INR,599.00,599.00
02 Sep '22,Annual Fees #3213645270,INR,250.00,250.00
02 Sep '22,GST #3213645271,INR,45.00,45.00
01 Sep '22,BESCOM BILLDESK MUMBAI IN #3214482867,INR,768.00,768.00
31 Aug '22,Swiggy Bengaluru IN #3210915848,INR,446.00,446.00
28 Aug '22,GO NATIVE LLP BANGALORE 356 #3205536640,INR,2540.00,2540.00
23 Aug '22,THE BOOKWORM BANGALORE IN #3196632251,INR,855.00,855.00
23 Aug '22,IRCTC  MPP NEW DELHI IN #3196903964,INR,899.30,899.30
21 Aug '22,UBER INDIA SYSTEMS PRI NOIDA IN #3193206626,INR,530.96,530.96
18 Aug '22,AMAZON BANGALORE IN #3187421393,INR,1189.00,1189.00
13 Aug '22,Swiggy Bengaluru IN #3178045538,INR,675.00,675.00